Date,Open,High,Low,Close,Volume
2020-02-14 22:40:00.,-48,91,-69,42,135.5
2020-02-14 22:41:00.,-58,88,-75,23,130.5
2020-02-14 22:42:00.,-49,91,-68,42,134.5
2020-02-14 22:43:00.,-50,91,-69,38,133.5
2020-02-14 22:44:00.,-53,90,-70,40,135
2020-02-14 22:45:00.,-49,91,-69,39,134
2020-02-14 22:46:00.,-51,90,-69,41,134.5
2020-02-14 22:47:00.,-48,91,-68,42,134.5
2020-02-14 22:48:00.,-55,92,-68,47,137.5
2020-02-14 22:49:00.,-49,91,-64,41,130
2020-02-14 22:50:00.,-52,90,-74,39,138.5
2020-02-14 22:51:00.,-53,90,-72,37,135.5
2020-02-14 22:52:00.,-53,90,-67,39,131.5
2020-02-14 22:53:00.,-54,91,-64,49,134
2020-02-14 22:54:00.,-53,90,-68,39,132.5
2020-02-14 22:55:00.,-52,90,-69,38,133
2020-02-14 22:56:00.,-54,90,-68,39,132.5
2020-02-14 22:57:00.,-53,90,-68,37,131.5
2020-02-14 22:58:00.,-56,89,-71,36,133.5
2020-02-14 22:59:00.,-50,91,-67,37,131
2020-02-14 23:00:00.,-52,90,-69,36,132
2020-02-14 23:01:00.,-50,90,-68,37,131.5
2020-02-14 23:02:00.,-51,90,-69,39,133.5
2020-02-14 23:03:00.,-54,86,-72,32,131
2020-02-14 23:04:00.,-60,82,16,33,41.5
2020-02-14 23:05:00.,-54,87,22,39,41
2020-02-14 23:06:00.,-55,84,18,31,39.5
2020-02-14 23:07:00.,-61,81,15,30,40.5
2020-02-14 23:08:00.,-52,87,22,34,38.5
2020-02-14 23:09:00.,-37,101,39,68,45.5
2020-02-14 23:10:00.,-56,99,-45,54,121.5
2020-02-14 23:11:00.,-54,94,-52,39,118.5
2020-02-14 23:12:00.,-55,94,-53,40,120
2020-02-14 23:13:00.,-56,94,-52,42,120
2020-02-14 23:14:00.,-55,93,-52,41,119
2020-02-14 23:15:00.,-54,94,-51,41,118.5
2020-02-14 23:16:00.,-54,91,-54,41,120
2020-02-14 23:17:00.,-55,94,-53,38,119
2020-02-14 23:18:00.,-47,98,-49,47,121.5
2020-02-14 23:19:00.,-55,91,-55,37,119
2020-02-14 23:20:00.,-24,61,-3,6,36.5
2020-02-14 23:21:00.,-40,93,-53,45,122
2020-02-14 23:22:00.,-46,97,36,49,37
2020-02-14 23:23:00.,-67,90,30,39,34.5
2020-02-14 23:24:00.,-37,114,54,67,36.5
2020-02-14 23:25:00.,-48,100,-40,53,116.5
2020-02-14 23:26:00.,-52,101,-43,50,118.5
2020-02-14 23:27:00.,-57,101,-44,50,119.5
2020-02-14 23:28:00.,-56,100,-46,49,120.5
2020-02-14 23:29:00.,-69,94,-52,44,121
2020-02-14 23:30:00.,-76,99,-48,52,123.5
2020-02-14 23:31:00.,-71,93,-53,45,122
2020-02-14 23:32:00.,-108,89,-58,37,121
2020-02-14 23:33:00.,-111,92,-54,44,122
2020-02-14 23:34:00.,-166,85,-61,35,121
2020-02-14 23:35:00.,-58,92,-54,46,123
2020-02-14 23:36:00.,-55,90,-56,39,120.5
2020-02-14 23:37:00.,-54,90,-56,36,119
2020-02-14 23:38:00.,-55,90,-56,40,121
2020-02-14 23:39:00.,-54,90,-56,37,119.5
2020-02-14 23:40:00.,-52,90,-55,37,118.5
2020-02-14 23:41:00.,-53,90,-56,36,119
2020-02-14 23:42:00.,-59,87,-61,29,119
2020-02-14 23:43:00.,-53,90,-56,35,118.5
2020-02-14 23:44:00.,-51,90,-55,41,120.5
2020-02-14 23:45:00.,-53,90,-56,36,119
2020-02-14 23:46:00.,-49,91,-54,42,120.5
2020-02-14 23:47:00.,-51,90,-55,37,118.5
2020-02-14 23:48:00.,-49,91,-54,41,120
2020-02-14 23:49:00.,-49,91,-54,40,119.5
2020-02-14 23:50:00.,-51,90,-55,41,120.5
2020-02-14 23:51:00.,-49,91,-54,43,121
2020-02-14 23:52:00.,-54,90,-55,40,120
2020-02-14 23:53:00.,-50,90,-55,41,120.5
2020-02-14 23:54:00.,-46,92,-54,47,123.5
2020-02-14 23:55:01.,-51,90,-55,41,120.5
2020-02-14 23:56:00.,-53,89,-57,37,120
2020-02-14 23:57:00.,-54,89,-57,39,121
2020-02-14 23:58:00.,-53,90,-57,38,121
2020-02-14 23:59:00.,-53,90,-55,39,119.5
2020/2/15,-52,90,-57,36,120
2020-02-15 00:01:00.,-53,89,-57,38,120.5
2020-02-15 00:02:00.,-51,90,-56,36,119
2020-02-15 00:03:00.,-56,90,-57,22,113
2020-02-15 00:04:00.,-52,90,-57,36,120
2020-02-15 00:05:00.,-50,90,-56,37,119.5
2020-02-15 00:06:00.,-51,89,-58,35,120
2020-02-15 00:07:00.,-49,90,-56,39,120.5
2020-02-15 00:08:00.,-51,90,-57,36,120
2020-02-15 00:09:00.,-49,90,-56,41,121.5
2020-02-15 00:10:00.,-48,88,27,40,37
2020-02-15 00:11:00.,-52,87,27,37,35
2020-02-15 00:12:00.,-53,89,-56,38,119.5
2020-02-15 00:13:00.,-52,87,-58,36,119.5
2020-02-15 00:14:00.,-53,88,-58,37,120.5
2020-02-15 00:15:00.,-50,89,-58,35,120
2020-02-15 00:16:00.,-50,88,-61,36,123
2020-02-15 00:17:00.,-28,93,-56,42,123.5
2020-02-15 00:18:00.,-50,91,-56,39,121
2020-02-15 00:19:00.,-34,94,-51,45,120.5
2020-02-15 00:20:00.,-48,91,-56,40,121.5
2020-02-15 00:21:00.,-53,90,-58,38,122
2020-02-15 00:22:00.,-49,90,-57,39,121.5
2020-02-15 00:23:00.,-53,90,-59,37,122.5
2020-02-15 00:24:00.,-52,90,-58,39,122.5
2020-02-15 00:25:00.,-53,90,-58,37,121.5
2020-02-15 00:26:00.,-53,90,-57,38,121
2020-02-15 00:27:00.,-52,89,-59,34,120.5
2020-02-15 00:28:00.,-53,88,-72,36,134
2020-02-15 00:29:00.,-52,89,-77,34,138.5
2020-02-15 00:30:00.,-53,90,-72,35,134.5
2020-02-15 00:31:00.,-57,86,-73,29,130.5
2020-02-15 00:32:00.,-49,90,-68,36,131
2020-02-15 00:33:00.,-52,89,-72,34,133.5
2020-02-15 00:34:00.,-49,90,-69,40,134
2020-02-15 00:35:00.,-52,90,-70,34,132
2020-02-15 00:36:00.,-58,86,-76,29,133.5
2020-02-15 00:37:00.,-49,90,-69,37,132.5
2020-02-15 00:38:00.,-52,90,-71,33,132.5
2020-02-15 00:39:00.,-49,90,-69,40,134
2020-02-15 00:40:00.,-54,90,-70,38,134
2020-02-15 00:41:00.,-49,90,-69,40,134
2020-02-15 00:42:00.,-52,90,-70,39,134.5
2020-02-15 00:43:00.,-49,90,-69,38,133
2020-02-15 00:44:00.,-54,90,-71,37,134.5
2020-02-15 00:45:00.,-56,90,-69,45,136.5
2020-02-15 00:46:00.,-53,90,-71,37,134.5
2020-02-15 00:47:00.,-54,90,-71,37,134.5
2020-02-15 00:48:00.,-52,90,-72,35,134.5
2020-02-15 00:49:00.,-54,90,-71,37,134.5
2020-02-15 00:50:00.,-57,89,-71,42,136.5
2020-02-15 00:51:00.,-53,89,-72,36,134.5
2020-02-15 00:52:00.,-52,90,-72,35,134.5
2020-02-15 00:53:00.,-52,90,-71,34,133
2020-02-15 00:54:00.,-53,89,-72,34,133.5
2020-02-15 00:55:00.,-58,88,-74,33,134.5
2020-02-15 00:56:00.,-52,90,-71,35,133.5
2020-02-15 00:57:00.,-51,90,-70,37,133.5
2020-02-15 00:58:00.,-50,90,-70,39,134.5
2020-02-15 00:59:00.,-50,90,-70,40,135
2020-02-15 01:00:00.,-54,89,-73,37,136
2020-02-15 01:01:00.,-49,91,-70,40,135.5
2020-02-15 01:02:00.,-27,95,-65,47,136
2020-02-15 01:03:00.,-53,90,-72,37,135.5
2020-02-15 01:04:00.,-57,90,-71,42,137
2020-02-15 01:05:00.,-52,90,-71,39,135.5
2020-02-15 01:06:00.,-53,87,23,34,37.5
2020-02-15 01:07:00.,-53,88,24,35,37.5
2020-02-15 01:08:00.,-52,88,25,34,36
